day,process,count,min,mean,max,sum
3,"Processo,EMT",1,29,29.0,29,29
3,ps,16,1,1.1875,2,19
3,vboxmanage,14,1,1.1428571428571428,2,16
3,lsmod,12,1,1.25,2,15
3,VBoxManage,9,1,1.2222222222222223,2,11
3,monitoramento-n,9,1,1.0,1,9
3,monitoramento-V,5,1,1.2,2,6
3,mandb,2,2,2.5,3,5
3,whoami,4,1,1.25,2,5
3,monitoramento-c,3,1,1.0,1,3
3,pidof,3,1,1.0,1,3
3,grep,2,1,1.0,1,2
3,logrotate,2,1,1.0,1,2
3,monitoramento-z,2,1,1.0,1,2
3,pidstat,1,2,2.0,2,2
3,workload.sh,1,2,2.0,2,2
3,,1,1,1.0,1,1
3,apache2,1,1,1.0,1,1
3,awk,1,1,1.0,1,1
3,dpkg,1,1,1.0,1,1
3,find,1,1,1.0,1,1
3,flock,1,1,1.0,1,1
3,invoke-rc.d,1,1,1.0,1,1
3,khugepaged,1,1,1.0,1,1
3,monitoramento-d,1,1,1.0,1,1
3,nm-dispatcher,1,1,1.0,1,1
3,sed,1,1,1.0,1,1
3,systemd-tmpfile,1,1,1.0,1,1
3,jbd2,1,0,0.0,0,0
3,kworker,1,0,0.0,0,0
4,ps,100,1,1.1,4,110
4,pidof,49,1,1.1224489795918366,3,55
4,VBoxManage,35,1,1.0857142857142856,2,38
4,apt-get,3,1,8.666666666666666,15,26
4,EMT,3,2,4.333333333333333,8,13
4,lsmod,11,1,1.0,1,11
4,awk,8,1,1.0,1,8
4,grep,7,1,1.0,1,7
4,monitoramento-c,7,1,1.0,1,7
4,monitoramento-m,7,1,1.0,1,7
4,apache2,5,1,1.0,1,5
4,free,3,1,1.6666666666666667,3,5
4,gmain,2,2,2.5,3,5
4,ifconfig,5,1,1.0,1,5
4,monitoramento-V,5,1,1.0,1,5
4,VMSVGA FIFO,2,1,1.5,2,3
4,dbus-daemon,2,1,1.5,2,3
4,monitoramento-d,3,1,1.0,1,3
4,monitoramento-n,2,1,1.5,2,3
4,mpstat,3,1,1.0,1,3
4,nspr-4,2,1,1.5,2,3
4,Port0,2,1,1.0,1,2
4,cron,2,1,1.0,1,2
4,monitoramento-z,2,1,1.0,1,2
4,pidstat,2,1,1.0,1,2
4,sed,2,1,1.0,1,2
4,vboxmanage,2,1,1.0,1,2
4,GstPropNtfy,1,1,1.0,1,1
4,INTNET-RECV,1,1,1.0,1,1
4,NetworkManager,1,1,1.0,1,1
4,"Processo,monitoramento-m",1,1,1.0,1,1
4,"Processo,nspr-2",1,1,1.0,1,1
4,"Processo,pidof",1,1,1.0,1,1
4,VBoxSVCWatcher,1,1,1.0,1,1
4,VBoxXPCOMIPCD,1,1,1.0,1,1
4,apachectl,1,1,1.0,1,1
4,cat,1,1,1.0,1,1
4,date,1,1,1.0,1,1
4,in:imklog,1,1,1.0,1,1
4,mandb,1,1,1.0,1,1
4,nm-online,1,1,1.0,1,1
4,nspr-2,1,1,1.0,1,1
4,nspr-3,1,1,1.0,1,1
4,polkitd,1,1,1.0,1,1
4,sleep,1,1,1.0,1,1
4,stapio,1,1,1.0,1,1
4,systemd-journal,1,1,1.0,1,1
4,wc,1,1,1.0,1,1
4,whoami,1,1,1.0,1,1
4,systemd,2,0,0.0,0,0
5,ps,419,1,1.1145584725536992,4,467
5,pidof,169,1,1.0591715976331362,3,179
5,apt-get,10,8,11.1,14,111
5,VBoxManage,45,1,1.3555555555555556,3,61
5,monitoramento-V,30,1,1.0333333333333334,2,31
5,awk,23,1,1.0,1,23
5,monitoramento-n,22,1,1.0454545454545454,2,23
5,EMT,7,1,2.7142857142857144,5,19
5,free,19,1,1.0,1,19
5,monitoramento-m,17,1,1.0,1,17
5,grep,15,1,1.0,1,15
5,monitoramento-z,15,1,1.0,1,15
5,sed,14,1,1.0,1,14
5,monitoramento-c,12,1,1.0,1,12
5,apache2,8,1,1.375,3,11
5,monitoramento-d,11,1,1.0,1,11
5,nspr-4,5,1,2.2,4,11
5,NetworkManager,6,1,1.6666666666666667,3,10
